	S1-female-1	S1-female-2	S1-female-3	S1-male-1	S10-female-1	S10-female-2	S10-Female-3	S10-male-1	S10-male-2-	S2-female-1	S2-female-2	S2-male-1	S2-male-2	S2014F_E2-2-A-F	S2014F_E2-2-B-F	S2014F_E2-2-C-F	S2014F_E2-3-A-F	S2014F_E2-3-B-F	S2014F_E2-3-C-F	S2014F_E5-2-A-F	S2014F_E5-2-A-F_plate2	S2014F_E5-2-B-F	S2014F_E5-3-B-F	S2014F_E5-3-C-F	S2014F_E5-C-2-F	S2014F_E7-1-A-F	S2014F_E7-2-C-F	S2014F_E7-3-A-F	S2014F_E7-3-B-F	S2014F_E7-3-C-F	S2014F_E9-2-A-F	S2014F_E9-2-B-F	S2014F_E9-2-C-F	S2014F_E9-3-A-F	S2014F_E9-3-B-F	S2014F_E9-3-C-F	S2014m_E2-1-A-F	S2014M_E2-1-A-M	S2014m_E2-1-B-F	S2014M_E2-1-B-M	S2014m_E2-1-C-F	S2014m_E2-1-C-M	S2014m_E2-2-A-M	S2014m_E2-2-B-M	S2014m_E2-2-C-M	S2014m_E2-3-A-M	S2014m_E2-3-B-M	S2014m_E2-3-C-M	S2014m_E5-1-A-F	S2014M_E5-1-A-M	S2014m_E5-1-B-F	S2014M_E5-1-B-M	S2014m_E5-1-C-F	S2014M_E5-1-C-M	S2014m_E5-2-A-M	S2014m_E5-2-B-M	S2014m_E5-3-A-M	S2014m_E5-3-B-M	S2014m_E5-3-C-M	S2014m_E7-1-A-M	S2014m_E7-1-B-F	S2014m_E7-1-B-M	S2014m_E7-1-C-F	S2014m_E7-1-C-M	S2014m_E7-2-A-F	S2014m_E7-2-A-M	S2014m_E7-2-B-F	S2014m_E7-2-B-M	S2014m_E7-2-C-M	S2014m_E7-3-A-M	S2014M_E7-3-B-M	S2014m_E7-3-C-M	S2014M_E9-1-A-M	S2014m_E9-1-B-F	S2014M_E9-1-B-M	S2014m_E9-1-C-F	S2014M_E9-1-C-M	S2014m_E9-2-B-M	S2014m_E9-2-C-M	S2014m_E9-3-A-M	S2014m_E9-3-B-M	S2014m_E9-3-C-M	S2014m_E9-A-1-F	S2017t1_E11-T1a-Female	S2017t1_E11-T1a-Male	S2017t1_E11-T1b-Female	S2017t1_E11-T1b-Male	S2017t1_E13-T1a-Female	S2017t1_E13-T1a-Male	S2017t1_E13-T1b-Female	S2017t1_E13-T1b-Male	S2017t1_E14-T1a-Female	S2017t1_E14-T1a-Male	S2017t1_E14-T1b-Female	S2017t1_E14-T1b-Male	S2017t1_E16-T1a-Female	S2017t1_E16-T1a-Male	S2017t1_E16-T1b-Female	S2017t1_E16-T1b-Male	S2017t1_E17-T1a-Female	S2017t1_E17-T1a-Male	S2017t1_E17-T1b-Female	S2017t1_E17-T1b-Male	S2017t1_E19-T1a-Female	S2017t1_E19-T1a-Male	S2017t1_E19-T1b-Female	S2017t1_E19-T1b-Male	S2017t1_E23-T1a-Female	S2017t1_E23-T1a-Male	S2017t1_E23-T1b-Female	S2017t1_E23-T1b-Male	S2017t1_E30-T1a-Female	S2017t1_E30-T1a-Male	S2017t1_E30-T1b-Female	S2017t1_E30-T1b-Male	S2017t2_E11-T2a-Male_C7D5_5f	S2017t2_E11-T2a-Male	S2017t2_E11-T2b-Female	S2017t2_E11-T2b-Male	S2017t2_E13-T2a-Female	S2017t2_E13-T2a-Male	S2017t2_E13-T2b-Female	S2017t2_E13-T2b-Male	S2017t2_E14-T2a-Female	S2017t2_E14-T2a-Male	S2017t2_E14-T2b-Female	S2017t2_E14-T2b-Male	S2017t2_E16-T2a-Female	S2017t2_E16-T2a-Male	S2017t2_E16-T2b-Female	S2017t2_E16-T2b-Male	S2017t2_E17-T2a-Female	S2017t2_E17-T2a-Male	S2017t2_E17-T2b-Female	S2017t2_E17-T2b-Male	S2017t2_E19-T2a-Female	S2017t2_E19-T2a-Male	S2017t2_E19-T2b-Female	S2017t2_E19-T2b-Male	S2017t2_E23-T2a-Female	S2017t2_E23-T2a-Male	S2017t2_E23-T2b-Female	S2017t2_E23-T2b-Male	S2017t2_E30-T2a-Female	S2017t2_E30-T2a-Male	S2017t2_E30-T2b-Female	S2017t2_E30-T2b-Male	S2017t3_E11-T3a-Female	S2017t3_E11-T3a-Male	S2017t3_E16-T3b-Female	S2017t3_E16-T3b-Male	S2017t3_E17-T3a-Female	S2017t3_E17-T3a-Male	S2017t3_E30-T3b-Female	S2017t3_E30-T3b-Male	S2017t3F_E11-T3b-Female	S2017t3F_E13-T3a-Female	S2017t3F_E13-T3b-Female	S2017t3F_E14-T3a-Female	S2017t3F_E14-T3b-Female	S2017t3F_E16-T3a-Female	S2017t3F_E17-T3b-Female	S2017t3F_E19-T3a-Female	S2017t3F_E19-T3b-Female	S2017t3F_E23-T3a-Female	S2017t3F_E23-T3b-Female	S2017t3F_E30-T3a-Female	S2017t3M_E11-T3b-Male	S2017t3M_E13-T3a-Male	S2017t3M_E14-T3a-Male	S2017t3M_E14-T3b-Male	S2017t3M_E16-T3a-Male	S2017t3M_E17-T3b-Male	S2017t3M_E19-T3a-Male	S2017t3M_E19-T3b-Male	S2017t3M_E23-T3a-Male	S2017t3M_E23-T3b-Male	S2017t3M_E30-T3a-Male	S3-female-1	S3-female-3	S3-male-1	S3-male-2	S3-male-3	S4-female-1	S4-female-3	S4-male-1	S4-male-2	S4-male-3	S5-female-1	S5-female-2	S5-male-1	S5-male-2	S5-male-3	s6-Female-1	S6-female-2	S6-female-3	S6-male-1	S6-male-3	S7-female-1	S7-female-2	S7-female-3	S7-male-1	S7-male-2	S7-male-3	S8-female-1	S8-female-2	S8-female-3	S8-male-1	S8-male-2	S8-male-3	S9-female-1	S9-female-3	S9-male-1	S9-male-2
S1-female-1	0.0	0.6493333333333333	0.8946666666666667	0.4866666666666667	0.5893333333333334	0.6346666666666667	0.8253333333333334	0.4026666666666667	0.5413333333333333	0.332	0.7546666666666667	0.4093333333333333	0.5573333333333333	0.948	0.9133333333333333	0.9373333333333334	0.9226666666666666	0.9053333333333333	0.884	0.7333333333333333	0.792	0.788	0.7826666666666666	0.7853333333333333	0.796	0.8733333333333333	0.9733333333333334	0.7626666666666667	0.9266666666666666	0.9106666666666666	0.9053333333333333	0.9133333333333333	0.9573333333333334	0.9733333333333334	0.9666666666666667	0.9093333333333333	0.928	0.9253333333333333	0.932	0.9053333333333333	0.928	0.916	0.9453333333333334	0.9053333333333333	0.9413333333333334	0.9573333333333334	0.904	0.8933333333333333	0.72	0.78	0.7293333333333333	0.8226666666666667	0.704	0.752	0.7053333333333334	0.7493333333333333	0.88	0.8013333333333333	0.88	0.8946666666666667	0.88	0.8346666666666667	0.7826666666666666	0.916	0.852	0.8786666666666667	0.8266666666666667	0.88	0.8573333333333333	0.9346666666666666	0.8573333333333333	0.9746666666666667	0.9026666666666666	0.7613333333333333	0.916	0.86	0.7466666666666667	0.9613333333333334	0.8786666666666667	0.9253333333333333	0.9746666666666667	0.9746666666666667	0.9093333333333333	0.7173333333333334	0.7466666666666667	0.9573333333333334	0.6613333333333333	0.728	0.848	0.7466666666666667	0.848	0.7946666666666666	0.6866666666666666	0.6586666666666666	0.6053333333333333	0.7946666666666666	0.7613333333333333	0.7586666666666667	0.708	0.628	0.7746666666666666	0.756	0.8706666666666667	0.684	0.8826666666666667	0.6453333333333333	0.8586666666666667	0.6786666666666666	0.8133333333333334	0.652	0.7773333333333333	0.588	0.784	0.6293333333333333	0.708	0.936	0.9106666666666666	0.9346666666666666	0.9373333333333334	0.9306666666666666	0.9306666666666666	0.908	0.9333333333333333	0.9226666666666666	0.8413333333333334	0.7466666666666667	0.7666666666666667	0.896	0.936	0.952	0.932	0.9133333333333333	0.9333333333333333	0.912	0.9413333333333334	0.8746666666666667	0.932	0.788	0.8866666666666667	0.9146666666666666	0.9333333333333333	0.94	0.924	0.888	0.92	0.912	0.9213333333333333	0.8293333333333334	0.7986666666666666	0.8373333333333334	0.952	0.9426666666666667	0.948	0.9346666666666666	0.8133333333333334	0.824	0.928	0.9293333333333333	0.8306666666666667	0.8306666666666667	0.8586666666666667	0.9373333333333334	0.9453333333333334	0.8693333333333333	0.92	0.94	0.8333333333333334	0.9013333333333333	0.9546666666666667	0.9093333333333333	0.9386666666666666	0.9373333333333334	0.9306666666666666	0.9386666666666666	0.9533333333333334	0.92	0.9373333333333334	0.8733333333333333	0.7826666666666666	0.6333333333333333	0.656	0.8746666666666667	0.8093333333333333	0.404	0.7906666666666666	0.7586666666666667	0.584	0.8186666666666667	0.416	0.6866666666666666	0.672	0.7173333333333334	0.6026666666666667	0.47333333333333333	0.7093333333333334	0.8866666666666667	0.6173333333333333	0.7826666666666666	0.52	0.6013333333333334	0.8933333333333333	0.24666666666666667	0.74	0.7533333333333333	0.6426666666666667	0.44133333333333336	0.7373333333333333	0.45466666666666666	0.68	0.7933333333333333	0.248	0.712	0.27066666666666667	0.6053333333333333
S1-female-2	0.6493333333333333	0.0	0.9133333333333333	0.6746666666666666	0.86	0.288	0.78	0.672	0.5293333333333333	0.792	0.42533333333333334	0.4026666666666667	0.88	0.9	0.8586666666666667	0.8413333333333334	0.9146666666666666	0.896	0.864	0.49866666666666665	0.7306666666666667	0.728	0.6773333333333333	0.6893333333333334	0.58	0.8786666666666667	0.9546666666666667	0.5866666666666667	0.924	0.9066666666666666	0.8693333333333333	0.892	0.9653333333333334	0.9693333333333334	0.976	0.9026666666666666	0.9106666666666666	0.8893333333333333	0.9213333333333333	0.892	0.9053333333333333	0.8346666666666667	0.816	0.7866666666666666	0.848	0.8293333333333334	0.8453333333333334	0.7853333333333333	0.6506666666666666	0.7426666666666667	0.7413333333333333	0.7986666666666666	0.704	0.7133333333333334	0.5586666666666666	0.7106666666666667	0.78	0.7386666666666667	0.7786666666666666	0.864	0.896	0.824	0.8226666666666667	0.9013333333333333	0.7906666666666666	0.7973333333333333	0.7666666666666667	0.8066666666666666	0.74	0.9106666666666666	0.812	0.9773333333333334	0.856	0.6773333333333333	0.8986666666666666	0.8013333333333333	0.6226666666666667	0.9533333333333334	0.8426666666666667	0.8786666666666667	0.9666666666666667	0.976	0.8506666666666667	0.9266666666666666	0.86	0.9773333333333334	0.8546666666666667	0.7546666666666667	0.812	0.7573333333333333	0.8106666666666666	0.7906666666666666	0.772	0.7426666666666667	0.7586666666666667	0.8626666666666667	0.824	0.8213333333333334	0.8133333333333334	0.8373333333333334	0.844	0.8626666666666667	0.904	0.7893333333333333	0.7853333333333333	0.8066666666666666	0.792	0.7786666666666666	0.7813333333333333	0.8226666666666667	0.8053333333333333	0.864	0.8226666666666667	0.8586666666666667	0.6346666666666667	0.9146666666666666	0.876	0.8853333333333333	0.912	0.848	0.832	0.76	0.9013333333333333	0.8173333333333334	0.7826666666666666	0.5613333333333334	0.624	0.8626666666666667	0.8986666666666666	0.9506666666666667	0.836	0.788	0.8466666666666667	0.8013333333333333	0.9053333333333333	0.784	0.8973333333333333	0.7186666666666667	0.8173333333333334	0.824	0.9173333333333333	0.9066666666666666	0.8786666666666667	0.784	0.8093333333333333	0.7906666666666666	0.8653333333333333	0.8026666666666666	0.744	0.8426666666666667	0.9306666666666666	0.9093333333333333	0.916	0.9093333333333333	0.7066666666666667	0.784	0.86	0.888	0.7986666666666666	0.8026666666666666	0.8653333333333333	0.8706666666666667	0.9173333333333333	0.8226666666666667	0.8333333333333334	0.9026666666666666	0.8093333333333333	0.8493333333333334	0.9413333333333334	0.8786666666666667	0.812	0.888	0.9146666666666666	0.8906666666666667	0.952	0.864	0.9013333333333333	0.792	0.8666666666666667	0.7413333333333333	0.5066666666666667	0.8813333333333333	0.824	0.868	0.836	0.5506666666666666	0.8493333333333334	0.768	0.76	0.6093333333333333	0.32133333333333336	0.268	0.6773333333333333	0.7893333333333333	0.2826666666666667	0.8186666666666667	0.3586666666666667	0.7466666666666667	0.8293333333333334	0.45466666666666666	0.872	0.46266666666666667	0.5	0.676	0.8613333333333333	0.47333333333333333	0.76	0.7786666666666666	0.424	0.596	0.792	0.7533333333333333	0.8	0.444
S1-female-3	0.8946666666666667	0.9133333333333333	0.0	0.852	0.724	0.92	0.736	0.8973333333333333	0.944	0.8546666666666667	0.9306666666666666	0.8826666666666667	0.872	0.9653333333333334	0.9173333333333333	0.9226666666666666	0.9506666666666667	0.9906666666666667	0.8813333333333333	0.932	0.92	0.956	0.9253333333333333	0.884	0.9746666666666667	0.828	0.968	0.9373333333333334	0.9573333333333334	0.956	0.9506666666666667	0.9266666666666666	0.9746666666666667	0.9653333333333334	0.9746666666666667	0.9413333333333334	0.7906666666666666	0.82	0.732	0.848	0.7906666666666666	0.7853333333333333	0.8973333333333333	0.912	0.944	0.9426666666666667	0.956	0.9133333333333333	0.6893333333333334	0.8453333333333334	0.8373333333333334	0.7466666666666667	0.812	0.8146666666666667	0.8666666666666667	0.8853333333333333	0.9026666666666666	0.9333333333333333	0.8973333333333333	0.784	0.8	0.832	0.7906666666666666	0.788	0.9093333333333333	0.9213333333333333	0.8573333333333333	0.8213333333333334	0.8666666666666667	0.884	0.908	0.9853333333333333	0.8813333333333333	0.8506666666666667	0.9773333333333334	0.7786666666666666	0.82	0.9813333333333333	0.9306666666666666	0.8906666666666667	0.984	0.9746666666666667	0.908	0.8573333333333333	0.76	0.9386666666666666	0.7826666666666666	0.7373333333333333	0.8133333333333334	0.7466666666666667	0.756	0.892	0.788	0.772	0.7786666666666666	0.8546666666666667	0.7613333333333333	0.7546666666666667	0.7586666666666667	0.7866666666666666	0.8146666666666667	0.7813333333333333	0.904	0.7586666666666667	0.8133333333333334	0.832	0.8	0.6333333333333333	0.7533333333333333	0.7053333333333334	0.7213333333333334	0.6866666666666666	0.652	0.68	0.6946666666666667	0.7226666666666667	0.7133333333333334	0.7013333333333334	0.732	0.7146666666666667	0.7053333333333334	0.664	0.8066666666666666	0.6613333333333333	0.8373333333333334	0.7066666666666667	0.7613333333333333	0.6626666666666666	0.6866666666666666	0.8413333333333334	0.728	0.6666666666666666	0.7053333333333334	0.7213333333333334	0.788	0.716	0.7693333333333333	0.708	0.6533333333333333	0.8066666666666666	0.728	0.8586666666666667	0.7626666666666667	0.652	0.7733333333333333	0.668	0.6533333333333333	0.904	0.84	0.9133333333333333	0.788	0.8453333333333334	0.8493333333333334	0.8453333333333334	0.7773333333333333	0.836	0.7773333333333333	0.7373333333333333	0.8613333333333333	0.8706666666666667	0.7946666666666666	0.8786666666666667	0.7653333333333333	0.924	0.704	0.788	0.7866666666666666	0.8346666666666667	0.9346666666666666	0.8973333333333333	0.7413333333333333	0.752	0.8546666666666667	0.8226666666666667	0.9186666666666666	0.8053333333333333	0.8693333333333333	0.7826666666666666	0.908	0.556	0.8493333333333334	0.6853333333333333	0.7573333333333333	0.896	0.8906666666666667	0.94	0.7906666666666666	0.8493333333333334	0.8626666666666667	0.8546666666666667	0.8893333333333333	0.912	0.672	0.8146666666666667	0.9386666666666666	0.672	0.792	0.7346666666666667	0.488	0.9386666666666666	0.7933333333333333	0.8626666666666667	0.936	0.7253333333333334	0.8986666666666666	0.9253333333333333	0.7813333333333333	0.7466666666666667	0.9106666666666666	0.8066666666666666	0.796	0.7173333333333334	0.8106666666666666	0.9146666666666666
S1-male-1	0.4866666666666667	0.6746666666666666	0.852	0.0	0.5173333333333333	0.6613333333333333	0.76	0.47333333333333333	0.6106666666666667	0.4493333333333333	0.8453333333333334	0.5386666666666666	0.524	0.8853333333333333	0.7666666666666667	0.796	0.8986666666666666	0.944	0.816	0.8373333333333334	0.7973333333333333	0.896	0.7106666666666667	0.7	0.92	0.8346666666666667	0.9546666666666667	0.8693333333333333	0.8986666666666666	0.9173333333333333	0.888	0.8906666666666667	0.9533333333333334	0.944	0.9506666666666667	0.8933333333333333	0.8813333333333333	0.8626666666666667	0.8866666666666667	0.848	0.876	0.8	0.6893333333333334	0.6933333333333334	0.8333333333333334	0.748	0.7746666666666666	0.7253333333333334	0.7746666666666666	0.8613333333333333	0.8413333333333334	0.8853333333333333	0.7906666666666666	0.8453333333333334	0.6946666666666667	0.732	0.7	0.832	0.6853333333333333	0.8146666666666667	0.8266666666666667	0.832	0.7693333333333333	0.8706666666666667	0.8706666666666667	0.816	0.8493333333333334	0.7693333333333333	0.8253333333333334	0.8813333333333333	0.84	0.9693333333333334	0.8533333333333334	0.8066666666666666	0.9426666666666667	0.8466666666666667	0.7693333333333333	0.9426666666666667	0.872	0.8213333333333334	0.9613333333333334	0.9613333333333334	0.8626666666666667	0.8626666666666667	0.6813333333333333	0.9466666666666667	0.7266666666666667	0.6426666666666667	0.684	0.628	0.6773333333333333	0.6706666666666666	0.6613333333333333	0.592	0.6133333333333333	0.772	0.6813333333333333	0.6653333333333333	0.6813333333333333	0.748	0.7866666666666666	0.7146666666666667	0.836	0.576	0.6866666666666666	0.7293333333333333	0.7053333333333334	0.7146666666666667	0.6853333333333333	0.752	0.664	0.7773333333333333	0.7146666666666667	0.7426666666666667	0.692	0.9013333333333333	0.868	0.8706666666666667	0.9026666666666666	0.8266666666666667	0.8173333333333334	0.6866666666666666	0.8986666666666666	0.7693333333333333	0.8493333333333334	0.8253333333333334	0.792	0.8226666666666667	0.8773333333333333	0.9466666666666667	0.8493333333333334	0.7866666666666666	0.8253333333333334	0.7386666666666667	0.8506666666666667	0.8093333333333333	0.884	0.804	0.78	0.784	0.904	0.896	0.8666666666666667	0.7653333333333333	0.7826666666666666	0.7	0.8546666666666667	0.9306666666666666	0.856	0.9453333333333334	0.912	0.9	0.9013333333333333	0.9373333333333334	0.772	0.912	0.8773333333333333	0.884	0.9333333333333333	0.944	0.9293333333333333	0.9013333333333333	0.9026666666666666	0.8946666666666667	0.7573333333333333	0.8613333333333333	0.9146666666666666	0.8493333333333334	0.948	0.912	0.7706666666666667	0.8746666666666667	0.8946666666666667	0.8733333333333333	0.944	0.784	0.848	0.796	0.6813333333333333	0.692	0.5986666666666667	0.8413333333333334	0.7653333333333333	0.6946666666666667	0.6693333333333333	0.6533333333333333	0.5146666666666667	0.7826666666666666	0.4693333333333333	0.43066666666666664	0.6813333333333333	0.7666666666666667	0.5813333333333334	0.5053333333333333	0.728	0.8186666666666667	0.5786666666666667	0.764	0.5653333333333334	0.7053333333333334	0.8506666666666667	0.492	0.7786666666666666	0.7053333333333334	0.5053333333333333	0.3546666666666667	0.688	0.4266666666666667	0.712	0.7666666666666667	0.476	0.6466666666666666	0.43866666666666665	0.676
S10-female-1	0.5893333333333334	0.86	0.724	0.5173333333333333	0.0	0.8666666666666667	0.6866666666666666	0.5453333333333333	0.7466666666666667	0.496	0.9826666666666667	0.7213333333333334	0.5173333333333333	0.992	0.9653333333333334	0.9853333333333333	0.9773333333333334	0.9973333333333333	0.912	0.932	0.9626666666666667	0.9613333333333334	0.9733333333333334	0.9573333333333334	0.988	0.7853333333333333	0.9853333333333333	0.952	0.9733333333333334	0.9786666666666667	0.984	0.972	0.9933333333333333	0.9866666666666667	0.9826666666666667	0.9813333333333333	0.836	0.816	0.788	0.8093333333333333	0.8093333333333333	0.808	0.988	0.9373333333333334	0.9746666666666667	0.996	0.9773333333333334	0.964	0.776	0.828	0.764	0.856	0.7653333333333333	0.804	0.8826666666666667	0.8746666666666667	0.988	0.9626666666666667	0.9746666666666667	0.7866666666666666	0.7813333333333333	0.7906666666666666	0.76	0.8186666666666667	0.9573333333333334	0.9906666666666667	0.9466666666666667	0.872	0.9293333333333333	0.916	0.9573333333333334	0.996	0.8373333333333334	0.9453333333333334	0.9946666666666667	0.8266666666666667	0.8786666666666667	0.9946666666666667	0.9746666666666667	0.9746666666666667	0.9946666666666667	0.9893333333333333	0.9813333333333333	0.9266666666666666	0.9373333333333334	0.9706666666666667	0.916	0.8226666666666667	0.892	0.7186666666666667	0.8666666666666667	0.9093333333333333	0.884	0.84	0.8653333333333333	0.9146666666666666	0.9133333333333333	0.86	0.88	0.876	0.9066666666666666	0.86	0.9213333333333333	0.8386666666666667	0.872	0.8826666666666667	0.8746666666666667	0.8226666666666667	0.812	0.7666666666666667	0.7693333333333333	0.88	0.848	0.8733333333333333	0.896	0.8306666666666667	0.8053333333333333	0.8293333333333334	0.92	0.828	0.912	0.7986666666666666	0.9506666666666667	0.8893333333333333	0.8253333333333334	0.892	0.852	0.8533333333333334	0.824	0.9746666666666667	0.8933333333333333	0.8746666666666667	0.9	0.9306666666666666	0.9786666666666667	0.8373333333333334	0.9146666666666666	0.9146666666666666	0.8026666666666666	0.952	0.9173333333333333	0.9133333333333333	0.8613333333333333	0.7986666666666666	0.8173333333333334	0.8586666666666667	0.8426666666666667	0.9946666666666667	0.988	0.9893333333333333	0.9866666666666667	0.988	0.9906666666666667	0.996	0.9906666666666667	0.988	0.9706666666666667	0.976	0.9933333333333333	0.9906666666666667	0.9866666666666667	0.9933333333333333	0.984	0.9813333333333333	0.9533333333333334	0.9906666666666667	0.9773333333333334	0.9853333333333333	0.9973333333333333	0.9813333333333333	0.9826666666666667	0.9933333333333333	0.9586666666666667	0.9	0.9813333333333333	0.964	0.9853333333333333	0.992	0.6346666666666667	0.7173333333333334	0.7506666666666667	0.7173333333333334	0.704	0.712	0.7533333333333333	0.9773333333333334	0.43866666666666665	0.8346666666666667	0.5106666666666667	0.7013333333333334	0.8986666666666666	0.9506666666666667	0.5906666666666667	0.516	0.9373333333333334	0.5506666666666666	0.6453333333333333	0.7093333333333334	0.532	0.8413333333333334	0.8186666666666667	0.656	0.92	0.7173333333333334	0.43866666666666665	0.632	0.6466666666666666	0.37066666666666664	0.9133333333333333	0.8186666666666667	0.49066666666666664	0.5826666666666667	0.452	0.8413333333333334
S10-female-2	0.6346666666666667	0.288	0.92	0.6613333333333333	0.8666666666666667	0.0	0.676	0.6506666666666666	0.5133333333333333	0.7973333333333333	0.4866666666666667	0.4013333333333333	0.8493333333333334	0.9	0.724	0.8453333333333334	0.9106666666666666	0.8946666666666667	0.844	0.5933333333333334	0.7306666666666667	0.728	0.6746666666666666	0.7026666666666667	0.684	0.8786666666666667	0.9533333333333334	0.5813333333333334	0.92	0.9053333333333333	0.8653333333333333	0.8666666666666667	0.9586666666666667	0.968	0.968	0.8973333333333333	0.94	0.92	0.9493333333333334	0.9173333333333333	0.9346666666666666	0.872	0.7826666666666666	0.712	0.7306666666666667	0.8093333333333333	0.7186666666666667	0.7946666666666666	0.6733333333333333	0.7786666666666666	0.7413333333333333	0.828	0.7053333333333334	0.732	0.5306666666666666	0.7146666666666667	0.7613333333333333	0.7333333333333333	0.752	0.872	0.8946666666666667	0.828	0.828	0.9253333333333333	0.7133333333333334	0.8093333333333333	0.7346666666666667	0.8213333333333334	0.7226666666666667	0.9093333333333333	0.8253333333333334	0.9733333333333334	0.7613333333333333	0.5813333333333334	0.8533333333333334	0.7053333333333334	0.5213333333333333	0.9493333333333334	0.8466666666666667	0.8853333333333333	0.9653333333333334	0.9733333333333334	0.7226666666666667	0.8946666666666667	0.8093333333333333	0.9546666666666667	0.848	0.7426666666666667	0.78	0.7306666666666667	0.792	0.7373333333333333	0.7186666666666667	0.72	0.7293333333333333	0.828	0.784	0.7866666666666666	0.7986666666666666	0.8386666666666667	0.8293333333333334	0.8293333333333334	0.8706666666666667	0.7706666666666667	0.788	0.8186666666666667	0.808	0.788	0.796	0.8346666666666667	0.8133333333333334	0.8666666666666667	0.8373333333333334	0.868	0.676	0.9453333333333334	0.908	0.9213333333333333	0.944	0.876	0.8866666666666667	0.8186666666666667	0.9333333333333333	0.764	0.8146666666666667	0.6053333333333333	0.66	0.8946666666666667	0.928	0.96	0.868	0.7946666666666666	0.892	0.8493333333333334	0.916	0.808	0.9293333333333333	0.7626666666666667	0.8626666666666667	0.828	0.9466666666666667	0.9373333333333334	0.9093333333333333	0.832	0.836	0.8226666666666667	0.896	0.7946666666666666	0.756	0.8413333333333334	0.924	0.9146666666666666	0.9173333333333333	0.9013333333333333	0.6866666666666666	0.74	0.7386666666666667	0.8933333333333333	0.7506666666666667	0.6933333333333334	0.8573333333333333	0.8466666666666667	0.92	0.796	0.8706666666666667	0.912	0.8013333333333333	0.8573333333333333	0.94	0.772	0.824	0.8893333333333333	0.9333333333333333	0.9253333333333333	0.9506666666666667	0.888	0.912	0.7853333333333333	0.9053333333333333	0.648	0.536	0.8786666666666667	0.8586666666666667	0.852	0.8733333333333333	0.52	0.8453333333333334	0.652	0.7746666666666666	0.5226666666666666	0.42133333333333334	0.284	0.66	0.7933333333333333	0.31866666666666665	0.8213333333333334	0.43066666666666664	0.712	0.84	0.436	0.9	0.45466666666666666	0.54	0.7053333333333334	0.9	0.452	0.78	0.7906666666666666	0.36533333333333334	0.592	0.804	0.6613333333333333	0.8013333333333333	0.44533333333333336
